Jango Fett,(416) 555-8015
Padme Amidala,(905) 555-9325
Q'ira,(301) 555-3317
Firmus Piett,(705) 555-2063
Wedge Antilles,(647) 555-0495
Mon Mothma,(289) 555-6015
Count Dooku,(416) 555-9903
Nien Nunb,(905) 555-9141
Ponda Baba,(301) 555-4136
Max Rebo,(705) 555-5202
Salacious B. Crumb,(647) 555-6071
Enfys Nest,(289) 555-4382
Figrin D'an and the Modal Nodes,(416) 555-5310
Wicket W. Warrick,(905) 555-7088
Poe Dameron,(301) 555-7736
Qui-Gon Jinn,(705) 555-6073
Bib Fortuna,(647) 555-4729
Finn,(289) 555-9090
Kylo Ren,(416) 555-3082
Chirrut Imwe,(905) 555-3874
Mace Windu,(301) 555-1845
Chewbacca,(705) 555-3166
Jabba the Hut,(647) 555-8392
Greedo,(289) 555-5763
Lando Calrissian,(416) 555-6912
Darth Maul,(905) 555-8201
Obi-Wan Kenobi,(301) 555-3858
Rey,(705) 555-7583
Luke Skywalker,(647) 555-9475
Princess Leia,(289) 555-7976
Yoda,(416) 555-5461
Boba Fett,(905) 555-9868
Darth Vader,(301) 555-0086
Han Solo,(705) 555-8107
C3PO, (416) 555-2312
R2D2,(705) 555-3456
